review,sentiment,cluster,theme
"""Why don’t your ATMs support account-to-account transfers like other countries( Kenya, Nigeria , South africa)""",positive,0,Positive App Experience
what is this app problem???,negative,2,Convenience & Excellence
the app is proactive and a good connections.,positive,2,Convenience & Excellence
I cannot send to cbebirr app. through this app.,neutral,2,Convenience & Excellence
good,positive,2,Convenience & Excellence
not functional,neutral,0,Positive App Experience
"everytime you uninstall the app you have to reach them out physically. very oldy! if that's one of security layer, they'd check for fraud attempt via app source directly(source:- app store, play store ... etc) implicitly ! we are in 2025, physical presence for every app install is traditional(traditionally very rare).",positive,2,Convenience & Excellence
አካውንት የምናስገባበት ቦታ ስም ጽፈን ነው ከዚህ በፊት የላክንባቸውን አካዉንቶች የምንፈልገዉ ነገር ግን አዲስ አካውንቶች mr ብለዉ የሚጀምሩ በዝተዋል ግን አፕልኬሽኑ space ስንጽፍ አይቀበልም ቢስተካከል,neutral,0,Positive App Experience
best,positive,0,Positive App Experience
bezabih,neutral,0,Positive App Experience
Best Mobile Banking app ever,positive,2,Convenience & Excellence
it was good app but it have some issues like it doesnt give me the right amount that I have in the bank and have some issues in transferring,positive,0,Positive App Experience
Good,positive,2,Convenience & Excellence
very niec,neutral,0,Positive App Experience
best app of finance,positive,2,Convenience & Excellence
yetemeta,neutral,0,Positive App Experience
Engida Kebede Fetera,neutral,0,Positive App Experience
it is not safety,negative,0,Positive App Experience
NICE bank,positive,0,Positive App Experience
it is like a childish app make it better the worst I have ever seen,negative,0,Positive App Experience
"It's a problem solver application, go ahead CBE, I love so much.",positive,1,Developer & Application Praise
It's good but try to make it facilitate for your client,positive,2,Convenience & Excellence
best app,positive,2,Convenience & Excellence
Awesome bank,positive,0,Positive App Experience
this app has developed in a very good ways but there are some comments I need to make 1- preventing the screenshot likely not good for someone like me coz I need to make screenshot for quicker evidence. 2-it would be good if you make us to access recent transaction histories for 30 days coz we don't have to go to the Bank's in person to see old transactions or add colander category so user can easily access old transactions through colanders.,positive,0,Positive App Experience
Masha alla,neutral,0,Positive App Experience
"Recently there is big problem when sending to safaricom, telebir, and even to cbebirr wallet could anybody who is responsible fix it, it's very frustrating it's been 5 days and my money hasn't been returned it takes it out of my account but doesn't send it to my mpesa update- they have just corrected it and sent me back the money but still I'm afraid now to send again",negative,0,Positive App Experience
better service,positive,0,Positive App Experience
"it,s good app and time manager 👍",positive,2,Convenience & Excellence
malkaamuu Jiidhaa Namoo,neutral,0,Positive App Experience
lower system everything,negative,0,Positive App Experience
Nice!,positive,0,Positive App Experience
Keep it up My CBE,neutral,3,Customer Satisfaction & Gratitude
yes good,positive,2,Convenience & Excellence
"I was using this app for the last two years with no problems. It stopped working about 3 months ago. when I tried to transfer funds it gives me error ""can't do this transaction. inactive account.""",negative,0,Positive App Experience
i like everything of this app,positive,2,Convenience & Excellence
🤬🤬🤬🤬 network 🛜,neutral,0,Positive App Experience
Best,positive,0,Positive App Experience
CBE is the best financial application and and very dimple to use. I would like to say thank you so much for the developer of application. I really appreciate this app.,positive,1,Developer & Application Praise
nice,positive,0,Positive App Experience
good job,positive,2,Convenience & Excellence
it's awesome!!,positive,0,Positive App Experience
thankyou every one,neutral,0,Positive App Experience
